Início,https://www.tjro.jus.br/,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,193,11,8,2,0,3,217,0,0
,,,,,,,,,,
titulo,link,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,193,11,8,2,0,3,217,0,0
,,,,,,,,,,
Tjro_conheca_o_pj,https://www.tjro.jus.br/resp-institucional/resp-conheca-pj,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,64,3,8,0,0,0,75,0,0
,,,,,,,,,,
Tjro_conselho_magistratura,https://www.tjro.jus.br/resp-institucional/resp-cons-magistratura,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,84,3,8,0,0,0,95,0,0
,,,,,,,,,,
Núcleo de Cooperação Judiciária,https://www.tjro.jus.br/resp-institucional/nucleo-de-cooperacao-judiciaria,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,10,0,0,0,0,0,10,96.15%,15/05/2023
avisos,0,80,6,8,0,0,0,94,0,0
,,,,,,,,,,
Tjro_secretarias,https://www.tjro.jus.br/resp-institucional/resp-secretarias,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,59,3,8,0,0,0,70,0,0
,,,,,,,,,,
Transparência Estatística,https://www.tjro.jus.br/resp-transparencia-estatistica,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,47,3,9,0,0,0,59,0,0
,,,,,,,,,,
Tjro_Estrutura_Organizacional,https://www.tjro.jus.br/resp-institucional/estrutura,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,48,3,8,0,0,0,59,0,0
,,,,,,,,,,
Processos Organizacionais,https://www.tjro.jus.br/resp-institucional/processos-organizacionais,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,3,0,1,0,0,0,4,96.42%,15/05/2023
avisos,0,216,5,9,0,0,0,230,0,0
,,,,,,,,,,
Tjro_sistemas,https://www.tjro.jus.br/resp-sistemas,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,48,3,11,0,0,0,62,0,0
,,,,,,,,,,
TJRO - Cidadania,https://www.tjro.jus.br/resp-cidadania,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,83,4,8,0,0,0,95,0,0
,,,,,,,,,,
Tjro_comarcas,https://www.tjro.jus.br/resp-comarcas,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,50,3,8,0,0,0,61,0,0
,,,,,,,,,,
Boleto Bancário,https://www.tjro.jus.br/mn-sist-boleto-bancario,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,94,5,8,0,0,0,107,0,0
,,,,,,,,,,
Concursos,https://www.tjro.jus.br/resp-concursos,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,63,5,8,0,0,0,76,0,0
,,,,,,,,,,
Ouvidoria/LGPD,https://www.tjro.jus.br/mn-sist-ouvidoria#?pparentid=1&menuType=ouvidoria,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,63,5,8,0,0,0,76,0,0
,,,,,,,,,,
Tjro-SEI,https://www.tjro.jus.br/mn-sist-sei,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,71,3,9,0,0,0,83,0,0
,,,,,,,,,,
Tjro-Nupemec,https://www.tjro.jus.br/nupemec,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,148,3,8,0,0,0,159,0,0
,,,,,,,,,,
Nugepnac TJRO,https://www.tjro.jus.br/resp-nugep,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,121,3,13,0,0,0,137,0,0
,,,,,,,,,,
Início Pje,https://www.tjro.jus.br/inicio-pje,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,1,0,0,1,92.3%,15/05/2023
avisos,0,128,5,8,0,0,0,141,0,0
,,,,,,,,,,
Tjro_peritos_e_leiloreiros,https://www.tjro.jus.br/resp-ceajus,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,61,3,8,0,0,0,72,0,0
,,,,,,,,,,
Tjro_cees,https://www.tjro.jus.br/resp-cees,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,64,3,8,0,0,0,75,0,0
,,,,,,,,,,
404 - Erro: 404,https://www.tjro.jus.br/mn-feriados-locaishttps://www.tjro.jus.br/resp-gmfhttps://www.tjro.jus.br/resp-transmissao-sessoeshttps://www.tjro.jus.br/resp-tutoriais-sessoeshttps://www.tjro.jus.br/stic-cpeadvogadoshttps://www.tjro.jus.br/stic-glossariohttps://www.tjro.jus.br/resp-transp-nucleohttps://www.tjro.jus.br/resp-licitacoes-tjrohttps://www.tjro.jus.br/gestao-documental,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,2,1,0,1,0,0,4,%,15/05/2023
avisos,0,7,0,0,0,0,0,7,0,0
,,,,,,,,,,
Tjro_Secretaria_Tecnologia,https://www.tjro.jus.br/s-t-i-c,marcação,comportamento,conteudo_informação,apresentacao_design,multimidia,formulario,total,porcentagem,apuração
erros,0,0,0,0,0,0,0,0,100%,15/05/2023
avisos,0,54,3,8,0,0,0,65,0,0
,,,,,,,,,,
